x,y_bed
4.170000000000000095e-03,5.346075932935244295e-04
1.250000000000000069e-02,3.733784717267130647e-03
2.083000000000000129e-02,5.601801688268417956e-03
2.917000000000000148e-02,4.526881262130829156e-03
3.749999999999999861e-02,3.755313922763512443e-03
4.583000000000000268e-02,1.868216309222306632e-03
5.417000000000000287e-02,1.847318506791341235e-03
6.250000000000000000e-02,1.318632003105068857e-03
7.083000000000000407e-02,3.364712077195707897e-04
7.917000000000000426e-02,2.849455561715142152e-04
8.749999999999999445e-02,5.395096857859025402e-07
9.582999999999999852e-02,-1.734285142652618791e-04
1.041699999999999987e-01,-3.671145214111890551e-04
1.125000000000000028e-01,-7.474893725369438375e-04
1.208300000000000068e-01,-6.487948013345999762e-04
1.291700000000000070e-01,-7.285764820830110825e-04
1.375000000000000111e-01,-9.336725929736983294e-04
1.458299999999999874e-01,-9.098103507765866425e-04
1.541700000000000015e-01,-8.382737084497507429e-04
1.625000000000000056e-01,-1.224348546030270147e-03
1.708300000000000096e-01,-1.242209316893826045e-03
1.791699999999999959e-01,-1.212776262886620070e-03
1.875000000000000000e-01,-1.547361311026687614e-03
1.958300000000000041e-01,-1.628674124136673257e-03
2.041699999999999904e-01,-1.788556580187496310e-03
2.124999999999999944e-01,-1.840091385890922594e-03
2.208299999999999985e-01,-1.958465518317119205e-03
2.291700000000000126e-01,-2.039558987990080716e-03
2.374999999999999889e-01,-2.137676560318301118e-03
2.458299999999999930e-01,-2.147208807096540918e-03
2.541700000000000070e-01,-2.138312313890348461e-03
2.625000000000000111e-01,-2.276263888953058458e-03
2.708300000000000152e-01,-2.211098374191601199e-03
2.791699999999999737e-01,-1.584466657534006929e-03
2.874999999999999778e-01,-2.425929577167618666e-03
2.958299999999999819e-01,-2.445213040613131682e-03
3.041699999999999959e-01,-2.182296873567825084e-03
3.125000000000000000e-01,-2.156079395298699571e-03
3.208300000000000041e-01,-2.165896258883574788e-03
3.291700000000000181e-01,-2.266770382338971664e-03
3.375000000000000222e-01,-2.314594937812175252e-03
3.458300000000000263e-01,-2.192142484972486871e-03
3.541699999999999848e-01,-2.131641213164120995e-03
3.624999999999999889e-01,-2.175807895634379249e-03
3.708299999999999930e-01,-2.022759672349524855e-03
3.791700000000000070e-01,-2.083927487607371322e-03
3.875000000000000111e-01,-2.097007248123253838e-03
3.958300000000000152e-01,-2.058443551601390944e-03
4.041699999999999737e-01,-2.038470215301317699e-03
4.124999999999999778e-01,-2.210651061767024764e-03
4.208299999999999819e-01,-2.124644075410868707e-03
4.291699999999999959e-01,-2.283127080759902484e-03
4.375000000000000000e-01,-2.231635769395627980e-03
4.458300000000000041e-01,-2.271381310879555439e-03
4.541700000000000181e-01,-2.389105882047434098e-03
4.625000000000000222e-01,-2.391029345969458621e-03
4.708300000000000263e-01,-2.397010391311707629e-03
4.791699999999999848e-01,-2.492608167470816618e-03
4.874999999999999889e-01,-2.471695522531493650e-03
4.958299999999999930e-01,-2.273047935787614326e-03
5.041700000000000070e-01,-5.530779494740488801e-04
5.124999999999999556e-01,-1.520695919173540092e-03
5.208300000000000152e-01,-2.349825394703664548e-03
5.291700000000000292e-01,-2.426075306468149229e-03
5.374999999999999778e-01,-2.161178801258561814e-03
5.458300000000000374e-01,-1.790105057511982324e-03
5.541700000000000514e-01,-2.149483618620118015e-03
5.625000000000000000e-01,-2.269193517397001623e-03
5.708299999999999486e-01,-2.244875028921380824e-03
5.791699999999999626e-01,-2.208046832417927957e-03
5.875000000000000222e-01,-2.224943420962559142e-03
5.958299999999999708e-01,-2.268297969404305375e-03
6.041699999999999848e-01,-2.304953759703481757e-03
6.125000000000000444e-01,-2.333831478928378479e-03
6.208299999999999930e-01,-2.362859879398219315e-03
6.291700000000000070e-01,-2.374162043158116811e-03
6.374999999999999556e-01,-2.323981744969374520e-03
6.458300000000000152e-01,-2.345372702777978689e-03
